#nodes,#clique-2,#clique-3,#clique-4,#clique-5,#clique-6,#clique-7,#clique-8,#clique-9,#clique-10,#clique-11,#clique-12,#clique-13,#clique-14,#clique-15,#clique-16,#clique-17,#clique-18,#clique-19,#clique-20,#clique-21,#clique-22,#clique-23,#clique-24,#clique-25,#clique-26,#clique-27,#clique-28,#clique-29,#clique-30
7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,16.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,20.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,21.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,23.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,26.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,33.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,38.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,43.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,52.0,27.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,58.0,34.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,64.0,37.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,85.0,74.0,31.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,90.0,79.0,35.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,106.0,108.0,61.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,117.0,117.0,63.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,127.0,122.0,64.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,136.0,129.0,66.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,153.0,148.0,76.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,174.0,187.0,124.0,45.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
74.0,204.0,241.0,181.0,78.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
81.0,220.0,256.0,192.0,81.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
89.0,238.0,264.0,197.0,83.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
98.0,265.0,297.0,225.0,103.0,27.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
108.0,289.0,318.0,239.0,109.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
118.0,314.0,334.0,247.0,111.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
